product_name;product_art;product_url;product_descr;product_unit;product_const;product_photo;createdAt;updatedAt;accCategoryId;accProductStatusId
"Браслет с якорем ""Форватор Brown""";11211;https://xn--b1amp7bwb.com.ua/p708006277-braslet-yakorem-forvator.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Сумочка через плечо, клатч ""Асимметрия Gray""";10002;https://xn--b1amp7bwb.com.ua/p674387906-sumochka-cherez-plecho.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женская кожаная сумка ""Саквояж Gold""";10003;https://xn--b1amp7bwb.com.ua/p670379252-zhenskaya-kozhanaya-sumka.html;;шт.;0;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женская кожаная сумка ""Полина 2 Silver""";10006;https://xn--b1amp7bwb.com.ua/p670377231-zhenskaya-kozhanaya-sumka.html;;шт.;0;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женская кожаная сумка ""Полина 2 Gold""";10007;https://xn--b1amp7bwb.com.ua/p670377076-zhenskaya-kozhanaya-sumka.html;;шт.;0;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женский повседневный рюкзак ""Аврора Red""";10010;https://xn--b1amp7bwb.com.ua/p670358490-zhenskij-povsednevnyj-ryukzak.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женский повседневный рюкзак ""Аврора Blue""";10011;https://xn--b1amp7bwb.com.ua/p670358302-zhenskij-povsednevnyj-ryukzak.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женская кожаная сумка ""Синди2b, Silver""";10012;https://xn--b1amp7bwb.com.ua/p670311181-zhenskaya-kozhanaya-sumka.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женский повседневный рюкзак ""Кенди Beige""";10013;https://xn--b1amp7bwb.com.ua/p670298828-zhenskij-povsednevnyj-ryukzak.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женский повседневный рюкзак ""Кенди Pink""";10014;https://xn--b1amp7bwb.com.ua/p670298285-zhenskij-povsednevnyj-ryukzak.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женский повседневный рюкзак ""Кенди Blue""";10015;https://xn--b1amp7bwb.com.ua/p670298191-zhenskij-povsednevnyj-ryukzak.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женский повседневный рюкзак-сумка (трансформер) ""Авара Pink""";10017;https://xn--b1amp7bwb.com.ua/p670297867-zhenskij-povsednevnyj-ryukzak.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женский повседневный рюкзак-сумка (трансформер) ""Авара Beige""";10018;https://xn--b1amp7bwb.com.ua/p670297738-zhenskij-povsednevnyj-ryukzak.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женский повседневный рюкзак-сумка (трансформер) ""Авара Blue""";10019;https://xn--b1amp7bwb.com.ua/p670297419-zhenskij-povsednevnyj-ryukzak.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Стильная женская повседневная сумка ""Michael Kors Аманда 2 Pink 1""";10020;https://xn--b1amp7bwb.com.ua/p670288379-stilnaya-zhenskaya-povsednevnaya.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женская кожаная сумка ""Ангелина Silver""";10023;https://xn--b1amp7bwb.com.ua/p668233928-zhenskaya-kozhanaya-sumka.html;;шт.;0;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Стильная женскаяповседневная сумка ""Michael Kors Аманда2 Pink 2""";10025;https://xn--b1amp7bwb.com.ua/p668207591-stilnaya-zhenskayapovsednevnaya-sumka.html;;шт.;0;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Стильная женскаяповседневная сумка ""Michael Kors Аманда2 Red Wine""";10026;https://xn--b1amp7bwb.com.ua/p668205962-stilnaya-zhenskayapovsednevnaya-sumka.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женская повседневная сумка ""Michael Kors, Луиза, Red Wine""";10027;https://xn--b1amp7bwb.com.ua/p668203895-zhenskaya-povsednevnaya-sumka.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женская кожаная сумка ""Пуговка 2, Pink""";10029;https://xn--b1amp7bwb.com.ua/p668169859-zhenskaya-kozhanaya-sumka.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женская кожаная сумка ""Пуговка 3 Black""";10031;https://xn--b1amp7bwb.com.ua/p666250664-zhenskaya-kozhanaya-sumka.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женская повседневная сумка ""Michael Kors Рената Black""";10035;https://xn--b1amp7bwb.com.ua/p665808791-zhenskaya-povsednevnaya-sumka.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Стильная женскаяповседневная сумка ""Michael Kors Аманда2 Black""";10036;https://xn--b1amp7bwb.com.ua/p665807829-stilnaya-zhenskayapovsednevnaya-sumka.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Часы женские, мужские, унисекс ""Элемент Black""";10039;https://xn--b1amp7bwb.com.ua/p664414953-chasy-zhenskie-muzhskie.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Часы женские, мужские, унисекс ""Элемент White""";10040;https://xn--b1amp7bwb.com.ua/p664414873-chasy-zhenskie-muzhskie.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женская повседневная сумка ""Нью Йорк Pink""";10041;https://xn--b1amp7bwb.com.ua/p659632094-zhenskaya-povsednevnaya-sumka.html;;шт.;0;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Большой рюкзак для ноутбука, спорта, путешествий, городской ""Берлин Brown""";10042;https://xn--b1amp7bwb.com.ua/p659611884-bolshoj-ryukzak-dlya.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Большой рюкзак для ноутбука, спорта, городской ""Берлин Brown""";10043;https://xn--b1amp7bwb.com.ua/p659607065-bolshoj-ryukzak-dlya.html;;шт.;0;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женский кожаный рюкзак ""Карина Silver""";10044;https://xn--b1amp7bwb.com.ua/p659602077-zhenskij-kozhanyj-ryukzak.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женский кожаный рюкзак ""Карина Black""";10046;https://xn--b1amp7bwb.com.ua/p659597073-zhenskij-kozhanyj-ryukzak.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Женский кожаный рюкзак-сумка(трансформер) ""Анжелика Dark Brown""";10047;https://xn--b1amp7bwb.com.ua/p659582639-zhenskij-kozhanyj-ryukzak.html;;шт.;1;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Тибетский браслет из бусин ""Сила шунгит, с камнями""";10049;https://xn--b1amp7bwb.com.ua/p656473107-tibetskij-braslet-busin.html;;шт.;0;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Тибетский браслет из бусин ""Forest""";10050;https://xn--b1amp7bwb.com.ua/p656264352-tibetskij-braslet-busin.html;;шт.;0;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Тибетский браслет из бусин ""Будда Инь Янь""";10051;https://xn--b1amp7bwb.com.ua/p656253325-tibetskij-braslet-busin.html;;шт.;0;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
"Тибетский браслет из бусин ""Будда, тигровый глаз 2""";10052;https://xn--b1amp7bwb.com.ua/p656103694-tibetskij-braslet-busin.html;;шт.;0;;2018-10-27 00:00:00;2018-10-27 00:00:00;;1
